chemin,pseudo_label,confiance_min
../data/mri_dataset_brain_cancer_oc/sans_label/8cd4ed59-139f-4290-8455-05132107b115.jpg,normal,0.838
../data/mri_dataset_brain_cancer_oc/sans_label/5f4f7c1c-0ad6-4826-9a96-0c264d5f4b07.jpg,normal,0.846
../data/mri_dataset_brain_cancer_oc/sans_label/978715e7-db82-4910-a952-40498744ae1e.jpg,normal,0.75
../data/mri_dataset_brain_cancer_oc/sans_label/32e39df2-7d70-4840-9499-a67e3732c15e.jpg,cancer,0.722
../data/mri_dataset_brain_cancer_oc/sans_label/5a4646c6-3d6e-43db-aab7-1205f7cca59b.jpg,normal,0.726
../data/mri_dataset_brain_cancer_oc/sans_label/0303753e-919b-4947-8e55-4fc922bfbe35.jpg,cancer,0.71
../data/mri_dataset_brain_cancer_oc/sans_label/0850ca4c-e6e0-44ef-be80-ba3fe3d84483.jpg,cancer,0.81
../data/mri_dataset_brain_cancer_oc/sans_label/da5006db-24c8-4cd8-898a-65806cece24e.jpg,normal,0.766
../data/mri_dataset_brain_cancer_oc/sans_label/f2dc984e-3f0f-4d13-9301-f9e0b0e4e51e.jpg,cancer,0.762
../data/mri_dataset_brain_cancer_oc/sans_label/445cf17d-d94e-4c4d-928f-75ef64f771e9.jpg,cancer,0.78
../data/mri_dataset_brain_cancer_oc/sans_label/94eb9a94-40b4-45e8-9c4b-068cd7e2f439.jpg,cancer,0.84
../data/mri_dataset_brain_cancer_oc/sans_label/0822f067-f5e2-477d-8005-3ad857c4c1fa.jpg,normal,0.804
../data/mri_dataset_brain_cancer_oc/sans_label/0de780a4-968f-41d7-9729-af487ddfa1a2.jpg,cancer,0.724
../data/mri_dataset_brain_cancer_oc/sans_label/4847c338-78a2-4d87-a820-058ce5ebb809.jpg,cancer,0.802
../data/mri_dataset_brain_cancer_oc/sans_label/8d91658e-94c3-441d-a344-4b8be9885e74.jpg,cancer,0.726
../data/mri_dataset_brain_cancer_oc/sans_label/16c95930-a0c3-49d7-9d09-813d796db9e7.jpg,cancer,0.75
../data/mri_dataset_brain_cancer_oc/sans_label/9b2f0d98-5b77-479e-af28-fc3db7350bab.jpg,cancer,0.71
../data/mri_dataset_brain_cancer_oc/sans_label/e91ff2a7-3285-4448-bcf3-564247f2e988.jpg,cancer,0.728
../data/mri_dataset_brain_cancer_oc/sans_label/06b17341-f3bb-4f31-8198-1ebdccbe2367.jpg,cancer,0.7590100886746971
../data/mri_dataset_brain_cancer_oc/sans_label/88d5e066-3735-4d6d-b729-de99cd014914.jpg,cancer,0.768
../data/mri_dataset_brain_cancer_oc/sans_label/a8e2d57e-39b3-495c-a585-b2d2d14e0cf3.jpg,normal,0.73
../data/mri_dataset_brain_cancer_oc/sans_label/2a6017d7-244c-49ae-90f0-f3e5f445d90c.jpg,cancer,0.822
../data/mri_dataset_brain_cancer_oc/sans_label/14f9055c-e72f-4d6e-8120-3cabaa1a1911.jpg,cancer,0.758
../data/mri_dataset_brain_cancer_oc/sans_label/4f843f10-b692-4744-a9db-754727f78b1b.jpg,cancer,0.774
../data/mri_dataset_brain_cancer_oc/sans_label/0b89c970-7727-4316-af01-1b2ea58abecb.jpg,normal,0.772
../data/mri_dataset_brain_cancer_oc/sans_label/302226bb-03f5-437b-8f97-f023756010ae.jpg,cancer,0.716
../data/mri_dataset_brain_cancer_oc/sans_label/d51fe3e6-8514-4b2c-aae8-40de18c3a086.jpg,normal,0.784
../data/mri_dataset_brain_cancer_oc/sans_label/11f2b893-2739-4cef-9433-3b4a724270e9.jpg,cancer,0.724
../data/mri_dataset_brain_cancer_oc/sans_label/6ce8de0b-3ea8-4ad9-85a5-245ea0d1405c.jpg,cancer,0.746
../data/mri_dataset_brain_cancer_oc/sans_label/f028075c-66fb-4764-acfb-39b1daeba4e6.jpg,normal,0.744
